model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_first_frame_ratio,std_first_frame_ratio,mean_other_frame_avg_ratio,std_other_frame_avg_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_frame_ratio_variance,std_frame_ratio_variance,mean_video_attention_mass,std_video_attention_mass
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,7.0,280.0,280.0,2.0173425184828893,0.04927376246153332,0.9703592360019684,0.02340258774332505,0.14466067222612244,0.042776502970275444,0.14466067222612244,0.042776502970275444,0.12225390020757913,0.006024737222546205,0.20462936072477272,0.04311082453982684,0.0020659933140580377,0.0019301267508906332,0.020719072056402055,0.007257608047520572
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,8.0,280.0,280.0,1.9964125143630165,0.04479082869553482,0.960287060056414,0.0210296441658458,0.22860627262187855,0.04667159694108455,0.22860627262187855,0.04667159694108455,0.11025611691709075,0.006611795663339006,0.23970174379646778,0.04246655395136719,0.0029619414360370555,0.0017799016942452214,0.04439137490200145,0.012390834577369397
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,9.0,280.0,280.0,2.0046765523297445,0.0468633281767618,0.9642626087580408,0.02206463387762653,0.21860692139182772,0.04605481242553324,0.21860692139182772,0.04605481242553324,0.11168602846030679,0.00653205511592206,0.23178591110876628,0.044013685034537474,0.002658873464055692,0.001897987482760253,0.03776570895487177,0.011586369095849255
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,10.0,280.0,280.0,1.976276183979852,0.053790787562784194,0.9506043016910553,0.02555279274584862,0.19481326844543218,0.03489195612423779,0.19481326844543218,0.03489195612423779,0.1150910652375647,0.005011859855222748,0.24419974541025502,0.04573257435122784,0.003643794080978426,0.002283660374046777,0.059227623790502545,0.011829358132042056
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,11.0,280.0,280.0,1.9534571000507899,0.07039869830733982,0.9396252772637776,0.03354710227973715,0.18863744078470127,0.04247760831707328,0.18863744078470127,0.04247760831707328,0.11596970300057105,0.006014382118001295,0.2598913778683969,0.05455238287469013,0.004526027182769862,0.0031606602481126307,0.03616714419996632,0.009464661724322086
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,12.0,280.0,280.0,1.9663279290710176,0.06194217856200718,0.9458200107727732,0.02954400612192651,0.22065364867448806,0.04722268901611069,0.22065364867448806,0.04722268901611069,0.1113970687346799,0.006757441222083804,0.2482014425098896,0.04735552983927407,0.003983284116111463,0.002645374889009577,0.06131180790918214,0.013673489983968161
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,13.0,280.0,280.0,1.9559936221156802,0.09383469961925431,0.9408514689121927,0.0450121239934763,0.21894247797983032,0.053535997407500896,0.21894247797983032,0.053535997407500896,0.11164406019129923,0.007695120585087684,0.2529336459402527,0.06178929236726511,0.004424868631550842,0.004232586540935002,0.06050714154927326,0.02552624151993187
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,14.0,280.0,280.0,1.9466541524444307,0.0884750932574108,0.9363561657922609,0.042368356656530756,0.14748930292470114,0.03327674033990018,0.14748930292470114,0.03327674033990018,0.12185685868774142,0.004824555869552679,0.27589270722653186,0.0644932553422421,0.004977610431420284,0.004075913366325187,0.04052629921352491,0.013123287312553338
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,15.0,280.0,280.0,1.9586410897118705,0.08406789591284705,0.9421226527009692,0.04025179640611313,0.13566692487469742,0.029485958260985164,0.13566692487469742,0.029485958260985164,0.12354708093085459,0.00430496651862864,0.2662132670304605,0.06051605757249498,0.004458956559912102,0.0037164073487615753,0.051400870350854735,0.018737389204666284
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,16.0,280.0,280.0,1.9436565897294453,0.0844563992510661,0.9349154761859348,0.04045272548914349,0.16163531278393098,0.0357452702252452,0.16163531278393098,0.0357452702252452,0.11983369929449898,0.005141987694557838,0.27635965991233075,0.06157325466264177,0.005055700559751131,0.0038752322948863533,0.045174988621978884,0.017104179096897012
