model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_video_attention_mass,std_video_attention_mass
OneThinker,/data1/liugengyuan/models/OneThinker,24.0,100.0,154.0,2.055806180238724,0.009307459878949273,0.9886338004469871,0.004475941487242938,0.5725560957193374,0.1546243165088558,0.6068629252910615,0.09368998651744032,0.11210759216919541,0.024469443556987765
OneThinker,/data1/liugengyuan/models/OneThinker,25.0,100.0,154.0,2.0394524788856505,0.007486374295980648,0.980769334435463,0.003600186872860139,0.7037469000555575,0.18557833275774652,0.7520949199795723,0.05378894931474142,0.07537268050014972,0.012809109959679084
OneThinker,/data1/liugengyuan/models/OneThinker,26.0,100.0,154.0,2.0426524913311006,0.008549638888074883,0.9823082134127616,0.004111506465331653,0.6852187453024089,0.17232555364920657,0.7290629237890244,0.0635371465675775,0.10350052420049906,0.016216552327199225
OneThinker,/data1/liugengyuan/models/OneThinker,27.0,100.0,154.0,2.04052502989769,0.008775184012895216,0.9812851226329804,0.0042199733963918535,0.6924448696337641,0.1854731839856558,0.7421286585927009,0.06522897525727445,0.085326236654073,0.01314307221836532
OneThinker,/data1/liugengyuan/models/OneThinker,28.0,100.0,154.0,2.0520259296894072,0.008686829879664818,0.9868158850073815,0.004177480616267495,0.6021192877925933,0.16847306942891918,0.6464798188209534,0.08009129061036283,0.1049589017406106,0.015488821057141248
OneThinker,/data1/liugengyuan/models/OneThinker,29.0,100.0,154.0,2.04117182970047,0.007362910660348469,0.9815961673855782,0.00354081212920718,0.6881638250499964,0.18491050810910173,0.7397727999091148,0.054588767601351326,0.0958228624984622,0.01442183473377229
OneThinker,/data1/liugengyuan/models/OneThinker,30.0,100.0,154.0,2.0424633729457855,0.008968699654553146,0.9822172662615776,0.004313032210624571,0.6759519935585558,0.18677324068946438,0.730944647192955,0.06517940928825272,0.0799711524322629,0.011744436801481056
OneThinker,/data1/liugengyuan/models/OneThinker,31.0,100.0,154.0,2.0428872287273405,0.00890974481042989,0.9824210971593856,0.004284681153916418,0.6724074405990541,0.184759010520737,0.7244999235868455,0.06762911477119637,0.09897159732878208,0.014735243641718975
OneThinker,/data1/liugengyuan/models/OneThinker,32.0,100.0,154.0,2.0420498979091644,0.007820723101836277,0.9820184290409089,0.0037609752737237274,0.6784295394271612,0.1877284011854603,0.7331554886698722,0.05754955617089052,0.07963084366172551,0.010893572719948175
OneThinker,/data1/liugengyuan/models/OneThinker,33.0,100.0,154.0,2.0429174864292143,0.008896643471866738,0.982435650229454,0.004278381538569068,0.6730024682357907,0.1820729954118419,0.7235238347947598,0.06855004202904297,0.09874225594103336,0.013096178591250413
OneThinker,/data1/liugengyuan/models/OneThinker,34.0,100.0,154.0,2.0574599516391756,0.00656739429654759,0.9894290989637375,0.0031582498993745238,0.5633965273946524,0.14059725034250284,0.5994771680235863,0.06651600248308086,0.09133059339597821,0.012142043671158663
OneThinker,/data1/liugengyuan/models/OneThinker,35.0,100.0,154.0,2.0774177825450897,0.000796730960270536,0.9990267866849899,0.0003831454345626982,0.26357076108455657,0.035978995739843776,0.2649050265550613,0.03433788100011454,0.07903478991240263,0.009886892977764508
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,0.0,100.0,100.0,2.077289509773254,0.000905521926935991,0.9989650976657868,0.0004354658607948812,0.1163906379789114,0.04152395821642968,0.2442801897227764,0.03955728276742184,0.1127424617111683,0.034021372694212015
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,1.0,100.0,100.0,2.078210299015045,0.0008570839042397053,0.9994079065322876,0.0004121736122651363,0.1047883216291666,0.024311560197649424,0.23115668311715126,0.032432165325211045,0.06875320142135025,0.01887458159138893
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,2.0,100.0,100.0,2.0785029792785643,0.000613871138944838,0.9995486551523208,0.00029520800829654,0.19116462521255018,0.04258068644659466,0.20554848968982697,0.03451707175792207,0.09916613046079874,0.02521510465645023
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,3.0,100.0,100.0,2.0782322573661802,0.0008768813076068969,0.9994184613227844,0.00042169095357856703,0.20242899276316165,0.05247306670429787,0.22189064517617227,0.04246701022873756,0.04441147169098258,0.009488840821349813
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,4.0,100.0,100.0,2.0784401679039,0.0005511680207890613,0.9995184475183487,0.00026505342540657223,0.1711951743066311,0.041792736285589334,0.2047576430439949,0.031920738504810586,0.054539908543229106,0.006002073075403135
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,5.0,100.0,100.0,2.0784254384040834,0.001168413684507195,0.9995113664865494,0.0005618871647199839,0.15244228158146142,0.03780619563711738,0.20709576904773713,0.041932419549500166,0.040737645272165536,0.008621734315082391
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,6.0,100.0,100.0,2.0783650159835814,0.0010633918286019359,0.9994823044538498,0.0005113830991469231,0.14922718845307828,0.032973849359604894,0.21525991693139077,0.040084206662708684,0.039792118929326534,0.008161147087321128
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,7.0,100.0,100.0,2.0783094429969786,0.0010690596068675833,0.9994555830955505,0.0005141081667213495,0.1425797799229622,0.038089316269914374,0.20928337499499322,0.04399227676432434,0.01663842510432005,0.003810079104665037
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,8.0,100.0,100.0,2.0779501152038575,0.0009125958117490771,0.9992827814817429,0.0004388660394975169,0.20454006128013133,0.04372461624513864,0.2294573938846588,0.03935680842257621,0.03588562017306685,0.008276721279484919
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,9.0,100.0,100.0,2.0777720522880556,0.001486898468328507,0.9991971522569656,0.0007150470990809799,0.20036948017776013,0.04866099878059478,0.23611399948596953,0.055884761328810297,0.032046954352408646,0.007833655155163185
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,10.0,100.0,100.0,2.0773969960212706,0.0014868139484032023,0.9990167886018753,0.00071500600728713,0.17334505304694175,0.03830805358327419,0.25068116188049316,0.04957356159513979,0.05155798975378275,0.01073334999245419
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,11.0,100.0,100.0,2.0763323163986205,0.0022915665999759336,0.9985047852993012,0.0011020088935655519,0.17750998210161925,0.047835387455953296,0.282345390021801,0.06025508315970676,0.029358155578374862,0.005083968057034643
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,12.0,100.0,100.0,2.077367331981659,0.0015409086883527677,0.9990025234222412,0.0007410204686659771,0.2033229376003146,0.05022779788827984,0.2413419957458973,0.04897240553106186,0.05919408205896616,0.009889315640186164
Auto-Video-R1,/data1/liugengyuan/models/Auto-Video-R1,13.0,100.0,100.0,2.076528308391571,0.00351444930268959,0.9985990345478057,0.0016900944974257326,0.20436201874166726,0.055917913403316526,0.2620801953971386,0.07902572486138425,0.05891908045858145,0.015265793605882214
